run_id,row_sample_id,measured_at,scenario,batch_size,total_candidate_count,foreground_candidate_count,analysis_unit_count,requested_text_count,backend_request_count,row_total_to_mask_ms,backend_roundtrip_ms,backend_internal_avg_ms,backend_model_avg_ms,candidate_collect_ms,parser_ms,pre_backend_ms,local_preflight_ms,decision_build_ms,mask_apply_ms,post_backend_to_mask_ms,first_mask_ms,amortized_total_ms_per_requested_text,latency_bucket,dominant_stage,dominant_stage_ms,worst_rank,is_absolute_worst,is_extreme_outlier,is_outlier_excluded_worst,is_recurring_slow_bucket,is_fast_or_cache_path,user_visible_latency_basis,throughput_note,raw_notes
chrome-10k-fixture-20260607T2314,1319,2026-06-07T23:20:24+09:00,bypass,8,18,8,8,5,2,184,182,38.326,38.029,1,,2,,,,,,36.8,noticeable<=250ms,backend_roundtrip_ms,182.0,766,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=36.80ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1320,2026-06-07T23:20:25+09:00,bypass,16,20,8,8,5,2,195,193,39.59,39.316,2,,2,,,,,,39.0,noticeable<=250ms,backend_roundtrip_ms,193.0,621,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=39.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1321,2026-06-07T23:20:25+09:00,mixed,4,9,8,8,5,2,59,57,22.539,22.238,2,,2,,,,,,11.8,normal<=100ms,backend_roundtrip_ms,57.0,6642,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=11.80ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1322,2026-06-07T23:20:25+09:00,mixed,8,12,8,8,3,1,46,45,29.481,29.241,1,,1,,,,,,15.33,fast<=50ms,backend_roundtrip_ms,45.0,8435,no,no,no,no,no,total_to_mask_ms,3 requested texts in row; amortized=15.33ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1323,2026-06-07T23:20:25+09:00,mixed,16,14,8,8,2,1,31,29,31.417,31.165,2,,2,,,,,,15.5,fast<=50ms,backend_internal_avg_ms,31.42,9409,no,no,no,no,no,total_to_mask_ms,2 requested texts in row; amortized=15.50ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1324,2026-06-07T23:20:26+09:00,search-result,4,10,8,8,5,2,125,124,22.104,21.781,1,,1,,,,,,25.0,noticeable<=250ms,backend_roundtrip_ms,124.0,1042,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=25.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1325,2026-06-07T23:20:26+09:00,search-result,8,17,8,8,5,2,67,65,17.225,16.959,1,,2,,,,,,13.4,normal<=100ms,backend_roundtrip_ms,65.0,5035,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=13.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1326,2026-06-07T23:20:27+09:00,search-result,16,19,8,8,5,2,72,70,17.927,17.664,2,,2,,,,,,14.4,normal<=100ms,backend_roundtrip_ms,70.0,3992,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=14.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1327,2026-06-07T23:20:27+09:00,profanity,4,10,8,8,5,1,51,49,15.368,15.082,1,,1,,,,,2,10.2,normal<=100ms,backend_roundtrip_ms,49.0,7869,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=10.20ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1328,2026-06-07T23:20:27+09:00,profanity,8,18,8,8,8,2,68,66,7.672,7.451,1,,2,,,,,2,8.5,normal<=100ms,backend_roundtrip_ms,66.0,4823,no,no,no,no,no,total_to_mask_ms,8 requested texts in row; amortized=8.50ms/text,real Chrome unpacked extension content-script pipeline
